group,status,lca_node,member_count,extra_nodes,missing_nodes,subgroups,extra_count,missing_count,polytomy_details
CG1-02-33-12,monophyletic,internal_22,10,,,,0,0,
CG10238-14,monophyletic,internal_16,5,,,,0,0,
COMBO-56-21,monophyletic,internal_26,19,,,,0,0,
CS1-C013,monophyletic,internal_18,5,,,,0,0,
CS3-C152,monophyletic,internal_20,3,,,,0,0,
CSP1-1,monophyletic,internal_29,12,,,,0,0,
CSSED10-239,monophyletic,internal_14,2,,,,0,0,
CSSed11-243R1,monophyletic,internal_12,2,,,,0,0,
Caldarchaeum,monophyletic,internal_19,13,,,,0,0,
Caldisphaera,monophyletic,internal_25,7,,,,0,0,
Calditenuis,monophyletic,internal_18,7,,,,0,0,
Caldivirga,monophyletic,internal_20,6,,,,0,0,
Calypsonella,monophyletic,internal_24,4,,,,0,0,
Cenarchaeum,monophyletic,internal_34,5,,,,0,0,
Chewarchaeum,monophyletic,internal_17,2,,,,0,0,
Conexivisphaera,monophyletic,internal_18,7,,,,0,0,
Culexarchaeum,monophyletic,internal_16,3,,,,0,0,
Culexmicrobium,monophyletic,internal_17,2,,,,0,0,
Cuniculiplasma,monophyletic,internal_28,17,,,,0,0,
DAIDAN01,monophyletic,internal_12,3,,,,0,0,
DAIEOU01,monophyletic,internal_29,2,,,,0,0,
DAIRED01,monophyletic,internal_24,2,,,,0,0,
DAOSEK01,monophyletic,internal_15,2,,,,0,0,
DAOVBJ01,monophyletic,internal_22,3,,,,0,0,
DAOVFN01,monophyletic,internal_23,3,,,,0,0,
DAOVIL01,monophyletic,internal_17,2,,,,0,0,
DAOVRB01,monophyletic,internal_20,2,,,,0,0,
DAOWHD01,monophyletic,internal_24,3,,,,0,0,
DAOWHW01,monophyletic,internal_20,4,,,,0,0,
DASPPF01,monophyletic,internal_28,6,,,,0,0,
DASPPK01,monophyletic,internal_33,11,,,,0,0,
DASPRZ01,monophyletic,internal_15,6,,,,0,0,
DASPTR01,monophyletic,internal_37,7,,,,0,0,
DASQQB01,monophyletic,internal_28,2,,,,0,0,
DASXVU01,monophyletic,internal_30,8,,,,0,0,
DATDSO01,monophyletic,internal_16,2,,,,0,0,
DATDTS01,monophyletic,internal_19,2,,,,0,0,
DATDVL01,monophyletic,internal_22,3,,,,0,0,
DATDVT01,monophyletic,internal_16,2,,,,0,0,
DATDXM01,monophyletic,internal_17,2,,,,0,0,
DATDXT01,monophyletic,internal_16,4,,,,0,0,
DATDYG01,monophyletic,internal_21,2,,,,0,0,
DATDYH01,monophyletic,internal_17,2,,,,0,0,
DATDYQ01,monophyletic,internal_17,2,,,,0,0,
DATETJ01,monophyletic,internal_26,2,,,,0,0,
DATEUP01,monophyletic,internal_19,5,,,,0,0,
DATFIX01,monophyletic,internal_23,3,,,,0,0,
DATFJM01,monophyletic,internal_34,3,,,,0,0,
DATFYP01,monophyletic,internal_29,3,,,,0,0,
DATGWN01,monophyletic,internal_24,2,,,,0,0,
DATHCB01,monophyletic,internal_25,3,,,,0,0,
DATJAJ01,monophyletic,internal_27,3,,,,0,0,
DATKKG01,monophyletic,internal_19,5,,,,0,0,
DATKKK01,monophyletic,internal_34,5,,,,0,0,
DATLTL01,monophyletic,internal_25,7,,,,0,0,
DG-33,monophyletic,internal_16,14,,,,0,0,
DRBY01,monophyletic,internal_14,5,,,,0,0,
DRGT01,monophyletic,internal_30,7,,,,0,0,
DRVP01,monophyletic,internal_28,9,,,,0,0,
DRVV01,monophyletic,internal_29,4,,,,0,0,
DRYM01,monophyletic,internal_16,4,,,,0,0,
DRYS01,monophyletic,internal_16,4,,,,0,0,
DRZP01,monophyletic,internal_22,10,,,,0,0,
DSBS01,monophyletic,internal_14,2,,,,0,0,
DSDF01,monophyletic,internal_18,3,,,,0,0,
DSFO01,monophyletic,internal_16,4,,,,0,0,
DSLH01,monophyletic,internal_30,3,,,,0,0,
DSQK01,monophyletic,internal_25,7,,,,0,0,
DSZV01,monophyletic,internal_25,8,,,,0,0,
